Berri1,Boyer,CSC,Dame,Parc,PierDup,Ren,Urbain,University,Viger
5323,3782,1916,2023,2965,1901,2515,1798,3740,615
4446,3784,1209,1854,1819,3070,2550,1514,2033,380
4476,4057,1337,1907,1910,3761,2289,1351,1987,396
4512,3337,2100,2003,3096,1508,2502,1764,3773,608
6457,4780,2693,2822,3922,3153,3522,2272,4698,684
6559,5079,2681,2950,3672,3238,3899,2040,4429,729
6265,4913,2306,2752,3669,2748,3368,2147,4583,798
4770,3744,1785,1955,2755,1490,2485,1598,3498,585
2562,2305,934,941,1111,1299,1223,1014,1259,231
4409,4073,1637,1909,2038,4025,2197,1359,2002,347
3191,2294,1513,1424,2201,943,1769,1318,2814,445
6042,4692,2988,2647,3598,3055,3213,2014,4368,735
6053,4811,3063,2852,3334,2892,3596,2078,4381,737
5860,4082,2709,2353,3411,1986,2839,2071,4191,664
5550,4451,2449,2343,3189,3425,3071,1885,3832,667
4861,4435,1665,1985,1940,4692,2855,1469,2077,469
4366,4083,1845,1800,2046,4192,2179,1279,2116,401
4872,3930,2696,2241,3089,2171,2806,1773,3829,625
6126,4928,3022,2783,3725,3356,3419,1657,4599,744
5272,4599,3444,2707,3615,3025,3220,1763,4426,686
5201,4184,2598,2523,3296,2391,2983,1411,3982,653
4710,3886,2142,2084,2947,2167,2497,1245,3574,586
3761,3613,1571,1540,1686,2744,2039,999,1843,364
3614,3235,1513,1453,1694,2724,1877,952,1689,321
5397,4092,2913,2496,3369,2555,2992,2002,4078,733
6199,4720,3225,2823,3799,3008,3404,2815,4580,679
6162,4522,3370,2523,3412,2276,3000,2254,4115,633
6480,4481,3095,2352,3320,2287,2947,2181,3769,670
3288,2085,1319,1097,1834,681,1403,1255,1450,369
1275,1169,479,442,560,208,612,547,352,111
2938,2213,1045,943,1268,1441,1168,888,1111,213
5667,4545,3124,2695,3436,3011,3366,2098,3863,656
3166,2230,1687,1404,2080,1085,1667,1427,2306,447
5346,4359,2952,2422,3343,2315,2970,741,3736,594
5893,4681,3143,2706,3503,2382,3292,1538,3953,715
5530,4626,2755,2394,3100,2485,2907,1776,3453,615
3856,3719,1596,1646,1736,2644,1997,1134,1762,385
1351,1314,620,458,724,725,592,520,647,130
5135,4142,2934,2216,3221,1925,2736,1823,3586,633
6092,4986,3517,2731,3805,2624,3294,2339,4157,754
5966,4912,3360,2648,3680,2680,3177,2091,4102,748
4504,3618,2532,1905,2798,1271,2182,1626,3269,558
5120,4799,2702,2342,3312,2387,2879,1905,3786,732
4443,4439,1778,1779,1888,3297,2114,1324,1962,350
2705,2822,1398,938,1609,1565,1294,992,1634,258
5668,4537,3824,2588,3790,2459,3254,2684,4203,589
5877,4582,4005,2440,3997,2062,3089,2941,4408,666
4944,3738,3304,1992,3333,1137,2583,2367,3794,590
1299,4815,4555,2571,3992,2151,3288,2398,4559,660
961,4237,3927,2269,3830,2036,2842,2230,4178,639
4190,3344,1649,1491,1755,2792,2083,1266,1728,312
4014,3175,1378,1546,1940,3387,1953,1245,1770,312
3977,3871,1562,1697,1699,3740,2269,1150,1570,342
7027,4933,4570,2736,4646,2230,3425,2324,1662,542
7161,5189,4513,2891,4802,2254,3810,2388,5023,529
4368,2578,2739,1359,2910,723,1951,1617,3166,286
6646,4915,4043,2531,4309,2256,3550,2273,4732,677
3742,3485,2221,1263,1734,2193,1716,1193,1944,353
2474,2479,1958,816,1793,1026,1156,1028,1564,239
6146,4230,4662,2562,4526,1921,3449,2338,5047,627
7121,4995,5337,2847,4896,2360,3904,2604,5201,684
5365,3423,4120,1988,4052,902,2853,1947,4400,506
6261,4520,4765,2518,4514,1794,3507,2457,4320,576
5777,4426,3952,2257,4015,2071,3258,2315,4373,557
2590,2502,1557,878,1498,1540,1266,1018,1487,212
3028,2933,1569,1131,1639,1723,1548,983,1569,248
5960,4171,4642,2556,4481,1849,3423,1817,4621,630
6562,4688,5044,2530,4712,1928,3604,1737,4490,666
6676,4461,4007,2539,4738,2081,3741,1866,5025,621
5530,3489,3370,1969,3960,1030,2954,1819,4193,506
3923,2852,2650,1351,2833,918,2078,1760,3034,355
3205,2959,1572,1058,1807,1489,1502,1392,1820,283
2740,2699,1513,962,1626,1104,1414,1033,1147,186
5405,3510,3767,2043,4007,1200,2928,2151,4099,537
5945,3748,4324,2088,4279,1351,2968,2343,4232,527
6022,3862,4416,2166,4167,1494,3048,2276,4328,495
5917,3652,3991,2056,4163,1554,3092,2504,4221,541
5264,3551,3423,1699,3706,1191,2541,2163,3869,520
2817,2441,1404,775,1524,1182,1180,1258,1590,206
1705,1426,943,437,1076,452,642,884,1037,113
5161,3284,3803,1789,3805,1313,2513,2155,3860,502
5956,3711,4154,2084,4177,1455,2856,2262,4101,514
6173,3866,4246,2147,4262,1534,2952,2266,4267,539
6155,4007,4082,2125,4131,1619,2985,2385,4295,559
5445,3927,3432,1948,3587,1941,2651,2051,3691,486
755,798,502,221,458,72,303,422,505,58
1837,1645,1089,543,1071,846,730,865,914,161
1741,1697,989,582,1053,863,734,741,969,132
5122,3194,3575,1786,3655,1050,2493,2041,3636,500
5645,3468,3930,1987,3963,1421,2684,2251,3898,601
3496,1913,2616,1088,2653,429,1576,1532,2600,342
4232,2632,3062,1358,3212,789,1893,1772,3070,407
2387,2339,1449,698,1489,1100,938,1151,1289,188
865,863,580,229,666,74,304,407,554,72
4500,2932,3540,1549,3513,1040,2207,1897,3366,466
3546,1883,2639,1012,2661,576,1480,1300,2118,334
5428,3292,3685,1812,3681,1315,2463,2086,3334,508
2828,1454,2305,950,2215,431,1378,1179,1982,329
1167,642,817,358,932,87,496,543,789,104
496,396,297,159,324,56,202,264,317,46
927,817,887,233,701,182,337,425,582,63
2961,1848,1894,1117,2590,527,1565,1232,2356,384
3108,2002,1844,1128,2685,530,1568,1366,2302,356
3245,1771,1692,1108,2585,464,1576,1365,2322,339
2369,1511,1375,859,2102,329,1223,1093,1856,274
1672,1072,894,483,1571,156,705,746,1323,175
661,600,335,153,509,34,266,370,395,44
1103,1101,568,262,820,316,385,531,696,64
2782,1731,1858,931,2439,458,1354,1059,2172,275
3158,1749,1868,984,2497,375,1349,1443,2214,270
3825,2307,2196,1243,2957,822,1753,1392,2654,383
2163,1146,1334,670,1919,211,1024,810,1592,215
2616,1634,1537,766,2186,352,1155,1036,2039,298
1201,993,614,291,841,168,399,649,821,110
1349,1399,717,352,845,420,462,605,798,104
3096,1921,1970,998,2654,572,1514,1277,2352,348
